Node/Edge,1000,5169
Step/Entity,1600,15
meet_step
0,0,0,0,1,0,0,6,0,2,0,2,0,2,41,0,
1,0,0,0,41,1,0,1,0,6,22,36,0,11,10,0,
2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,
3,1,41,0,0,9,0,2,0,32,28,62,0,14,6,0,
4,0,1,0,9,0,0,1,0,3,1,4,0,0,1,0,
5,0,0,0,0,0,0,3,7,0,0,0,2,0,0,0,
6,6,1,0,2,1,3,0,0,0,0,2,0,0,9,0,
7,0,0,0,0,0,7,0,0,0,0,0,4,0,0,17,
8,2,6,0,32,3,0,0,0,0,11,15,0,20,1,0,
9,0,22,0,28,1,0,0,0,11,0,13,0,13,0,0,
10,2,36,0,62,4,0,2,0,15,13,0,0,15,11,0,
11,0,0,3,0,0,2,0,4,0,0,0,0,0,0,25,
12,2,11,0,14,0,0,0,0,20,13,15,0,0,3,0,
13,41,10,0,6,1,0,9,0,1,0,11,0,3,0,0,
14,0,0,5,0,0,0,0,17,0,0,0,25,0,0,0,
0,0,2,0,11,1,2,20,2,0,5,14,0,0,0,0,
1,2,0,1,0,2,0,16,0,0,61,3,0,2,0,0,
2,0,1,0,0,0,0,0,0,0,0,0,14,34,1,0,
3,11,0,0,0,8,2,12,0,0,4,10,0,0,0,1,
4,1,2,0,8,0,3,0,0,0,0,0,0,0,0,25,
5,2,0,0,2,3,0,0,4,2,0,1,0,0,0,0,
6,20,16,0,12,0,0,0,0,0,6,12,0,1,0,1,
7,2,0,0,0,0,4,0,0,19,0,0,0,0,0,0,
8,0,0,0,0,0,2,0,19,0,0,0,0,0,0,1,
9,5,61,0,4,0,0,6,0,0,0,8,0,1,0,0,
10,14,3,0,10,0,1,12,0,0,8,0,0,0,0,1,
11,0,0,14,0,0,0,0,0,0,0,0,0,7,7,0,
12,0,2,34,0,0,0,1,0,0,1,0,7,0,0,0,
13,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,
14,0,0,0,1,25,0,1,0,1,0,1,0,0,0,0,
0,0,4,1,0,4,0,0,24,0,0,0,0,12,13,0,
1,4,0,9,3,7,0,0,3,0,7,0,2,2,0,6,
2,1,9,0,3,2,0,0,3,0,6,0,1,0,0,5,
3,0,3,3,0,0,0,0,0,2,3,0,3,0,2,2,
4,4,7,2,0,0,1,0,6,0,1,0,1,2,3,0,
5,0,0,0,0,1,0,0,0,223,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,24,3,3,0,6,0,0,0,0,5,0,0,35,6,0,
