Node/Edge,1000,48369
Step/Entity,1600,5
meet_step
0,0,28,24,26,16,
1,28,0,25,18,13,
2,24,25,0,31,53,
3,26,18,31,0,39,
4,16,13,53,39,0,
0,0,53,33,36,41,
1,53,0,52,46,53,
2,33,52,0,30,28,
3,36,46,30,0,28,
4,41,53,28,28,0,
0,0,39,12,8,3,
1,39,0,15,15,8,
2,12,15,0,36,19,
3,8,15,36,0,39,
4,3,8,19,39,0,
0,0,27,9,25,17,
1,27,0,6,14,61,
2,9,6,0,20,2,
3,25,14,20,0,14,
4,17,61,2,14,0,
0,0,29,20,41,14,
1,29,0,13,20,12,
2,20,13,0,6,23,
3,41,20,6,0,3,
4,14,12,23,3,0,
0,0,25,15,31,28,
1,25,0,20,32,36,
2,15,20,0,25,27,
3,31,32,25,0,63,
4,28,36,27,63,0,
0,0,71,45,28,41,
1,71,0,50,34,54,
2,45,50,0,29,28,
3,28,34,29,0,21,
4,41,54,28,21,0,
0,0,40,27,28,51,
1,40,0,28,20,34,
2,27,28,0,10,25,
3,28,20,10,0,21,
4,51,34,25,21,0,
0,0,5,28,67,44,
1,5,0,11,12,9,
2,28,11,0,37,26,
3,67,12,37,0,65,
4,44,9,26,65,0,
0,0,32,26,28,19,
1,32,0,38,27,28,
2,26,38,0,33,17,
3,28,27,33,0,14,
4,19,28,17,14,0,
0,0,45,21,25,24,
1,45,0,51,28,39,
2,21,51,0,28,34,
3,25,28,28,0,17,
4,24,39,34,17,0,
0,0,2,21,7,35,
1,2,0,1,4,4,
2,21,1,0,16,26,
3,7,4,16,0,32,
4,35,4,26,32,0,
0,0,10,14,15,9,
1,10,0,30,24,30,
2,14,30,0,41,56,
3,15,24,41,0,52,
4,9,30,56,52,0,
0,0,5,24,14,7,
1,5,0,30,16,4,
2,24,30,0,31,12,
3,14,16,31,0,10,
4,7,4,12,10,0,
0,0,22,12,46,70,
1,22,0,14,19,25,
2,12,14,0,19,13,
3,46,19,19,0,51,
4,70,25,13,51,0,
0,0,73,26,44,17,
1,73,0,31,78,40,
2,26,31,0,25,13,
3,44,78,25,0,39,
4,17,40,13,39,0,
0,0,40,63,48,36,
1,40,0,54,30,31,
2,63,54,0,48,44,
3,48,30,48,0,30,
4,36,31,44,30,0,
0,0,52,5,11,6,
1,52,0,6,17,12,
2,5,6,0,18,36,
3,11,17,18,0,21,
4,6,12,36,21,0,
0,0,15,10,9,5,
1,15,0,38,61,58,
2,10,38,0,13,25,
3,9,61,13,0,37,
4,5,58,25,37,0,
0,0,10,24,20,38,
1,10,0,14,16,11,
2,24,14,0,18,31,
3,20,16,18,0,43,
4,38,11,31,43,0,
0,0,20,23,4,11,
1,20,0,55,25,19,
2,23,55,0,59,20,
3,4,25,59,0,21,
4,11,19,20,21,0,
0,0,14,14,14,4,
1,14,0,13,18,4,
2,14,13,0,10,4,
3,14,18,10,0,12,
4,4,4,4,12,0,
0,0,4,7,14,10,
1,4,0,12,30,17,
2,7,12,0,5,4,
3,14,30,5,0,18,
4,10,17,4,18,0,
0,0,2,15,5,22,
1,2,0,4,12,6,
2,15,4,0,9,19,
3,5,12,9,0,12,
4,22,6,19,12,0,
0,0,3,3,17,9,
1,3,0,82,0,12,
2,3,82,0,4,8,
3,17,0,4,0,8,
4,9,12,8,8,0,
0,0,24,9,14,6,
1,24,0,4,5,20,
2,9,4,0,65,14,
3,14,5,65,0,10,
4,6,20,14,10,0,
0,0,17,29,35,22,
1,17,0,19,7,18,
2,29,19,0,24,30,
3,35,7,24,0,18,
4,22,18,30,18,0,
0,0,42,35,84,30,
1,42,0,22,54,18,
2,35,22,0,46,16,
3,84,54,46,0,48,
4,30,18,16,48,0,
0,0,22,9,35,14,
1,22,0,8,26,9,
2,9,8,0,10,39,
3,35,26,10,0,19,
4,14,9,39,19,0,
0,0,32,1,0,6,
1,32,0,1,2,8,
2,1,1,0,106,21,
3,0,2,106,0,17,
4,6,8,21,17,0,
0,0,79,2,3,17,
1,79,0,2,2,16,
2,2,2,0,35,15,
3,3,2,35,0,19,
4,17,16,15,19,0,
0,0,50,52,34,31,
1,50,0,36,17,20,
2,52,36,0,30,52,
3,34,17,30,0,21,
4,31,20,52,21,0,
0,0,10,12,11,14,
1,10,0,16,22,24,
2,12,16,0,25,26,
3,11,22,25,0,28,
4,14,24,26,28,0,
0,0,8,7,25,1,
1,8,0,24,7,39,
2,7,24,0,6,29,
3,25,7,6,0,7,
4,1,39,29,7,0,
0,0,30,28,38,22,
1,30,0,26,49,32,
2,28,26,0,32,22,
3,38,49,32,0,48,
4,22,32,22,48,0,
0,0,29,17,27,5,
1,29,0,24,37,19,
2,17,24,0,28,9,
3,27,37,28,0,16,
4,5,19,9,16,0,
0,0,24,25,30,39,
1,24,0,17,17,24,
2,25,17,0,12,19,
3,30,17,12,0,24,
