Node/Edge,1000,20135
Step/Entity,1600,5
meet_step
0,0,2,1,0,2,
1,2,0,3,2,2,
2,1,3,0,7,9,
3,0,2,7,0,0,
4,2,2,9,0,0,
0,0,4,0,1,2,
1,4,0,8,10,6,
2,0,8,0,1,12,
3,1,10,1,0,18,
4,2,6,12,18,0,
0,0,2,14,10,47,
1,2,0,3,0,2,
2,14,3,0,2,25,
3,10,0,2,0,4,
4,47,2,25,4,0,
0,0,15,18,17,29,
1,15,0,18,7,13,
2,18,18,0,12,19,
3,17,7,12,0,12,
4,29,13,19,12,0,
0,0,8,94,5,0,
1,8,0,1,13,2,
2,94,1,0,3,0,
3,5,13,3,0,1,
4,0,2,0,1,0,
0,0,15,3,18,3,
1,15,0,3,20,3,
2,3,3,0,4,8,
3,18,20,4,0,6,
4,3,3,8,6,0,
0,0,18,5,11,17,
1,18,0,11,9,22,
2,5,11,0,7,9,
3,11,9,7,0,29,
4,17,22,9,29,0,
0,0,19,15,45,26,
1,19,0,21,39,42,
2,15,21,0,35,11,
3,45,39,35,0,64,
4,26,42,11,64,0,
0,0,17,0,4,8,
1,17,0,0,10,19,
2,0,0,0,3,0,
3,4,10,3,0,2,
4,8,19,0,2,0,
0,0,0,0,0,0,
1,0,0,6,11,2,
2,0,6,0,1,22,
3,0,11,1,0,4,
4,0,2,22,4,0,
0,0,0,21,11,23,
1,0,0,2,0,1,
2,21,2,0,21,11,
3,11,0,21,0,15,
4,23,1,11,15,0,
0,0,3,39,4,5,
1,3,0,5,16,2,
2,39,5,0,10,5,
3,4,16,10,0,5,
4,5,2,5,5,0,
0,0,8,6,10,17,
1,8,0,11,19,7,
2,6,11,0,12,8,
3,10,19,12,0,6,
4,17,7,8,6,0,
0,0,3,23,1,17,
1,3,0,9,22,3,
2,23,9,0,5,14,
3,1,22,5,0,0,
4,17,3,14,0,0,
0,0,13,2,0,24,
1,13,0,8,4,16,
2,2,8,0,18,1,
3,0,4,18,0,1,
4,24,16,1,1,0,
0,0,1,0,3,0,
1,1,0,11,5,2,
2,0,11,0,3,4,
3,3,5,3,0,11,
4,0,2,4,11,0,
0,0,9,15,9,2,
1,9,0,7,9,3,
2,15,7,0,6,4,
3,9,9,6,0,0,
4,2,3,4,0,0,
0,0,0,59,54,77,
1,0,0,2,0,1,
2,59,2,0,33,43,
3,54,0,33,0,80,
4,77,1,43,80,0,
0,0,2,15,3,8,
1,2,0,5,37,4,
2,15,5,0,1,9,
3,3,37,1,0,1,
4,8,4,9,1,0,
0,0,24,8,8,18,
1,24,0,1,8,7,
2,8,1,0,16,42,
3,8,8,16,0,16,
4,18,7,42,16,0,
0,0,8,1,2,3,
1,8,0,4,1,9,
2,1,4,0,11,1,
3,2,1,11,0,0,
4,3,9,1,0,0,
0,0,4,6,4,13,
1,4,0,2,30,3,
2,6,2,0,0,16,
3,4,30,0,0,1,
4,13,3,16,1,0,
0,0,6,5,15,4,
1,6,0,2,1,3,
2,5,2,0,2,6,
3,15,1,2,0,1,
4,4,3,6,1,0,
0,0,8,2,0,1,
1,8,0,6,3,7,
2,2,6,0,3,7,
3,0,3,3,0,4,
4,1,7,7,4,0,
0,0,23,14,2,1,
1,23,0,17,1,1,
2,14,17,0,8,1,
3,2,1,8,0,5,
4,1,1,1,5,0,
0,0,3,0,17,2,
1,3,0,1,4,22,
2,0,1,0,12,0,
3,17,4,12,0,2,
4,2,22,0,2,0,
0,0,2,1,2,5,
1,2,0,19,17,41,
2,1,19,0,11,22,
3,2,17,11,0,26,
4,5,41,22,26,0,
0,0,16,2,2,3,
1,16,0,8,3,5,
2,2,8,0,5,20,
3,2,3,5,0,27,
4,3,5,20,27,0,
0,0,6,6,7,17,
1,6,0,21,2,4,
2,6,21,0,6,11,
3,7,2,6,0,19,
4,17,4,11,19,0,
0,0,14,13,6,2,
1,14,0,41,8,24,
2,13,41,0,12,31,
3,6,8,12,0,11,
4,2,24,31,11,0,
0,0,30,20,21,23,
1,30,0,30,18,22,
2,20,30,0,18,15,
3,21,18,18,0,10,
4,23,22,15,10,0,
0,0,3,9,2,0,
1,3,0,4,0,5,
2,9,4,0,1,3,
3,2,0,1,0,0,
4,0,5,3,0,0,
0,0,7,22,12,11,
1,7,0,10,8,16,
2,22,10,0,19,30,
3,12,8,19,0,3,
4,11,16,30,3,0,
0,0,2,4,40,0,
1,2,0,15,5,3,
2,4,15,0,2,16,
3,40,5,2,0,5,
4,0,3,16,5,0,
0,0,0,0,2,1,
1,0,0,28,18,22,
2,0,28,0,27,19,
3,2,18,27,0,21,
4,1,22,19,21,0,
0,0,8,6,5,13,
1,8,0,8,4,13,
2,6,8,0,5,5,
3,5,4,5,0,4,
4,13,13,5,4,0,
0,0,2,12,1,5,
1,2,0,5,8,5,
2,12,5,0,6,15,
3,1,8,6,0,4,
4,5,5,15,4,0,
0,0,19,8,10,10,
1,19,0,0,3,1,
2,8,0,0,9,28,
3,10,3,9,0,12,
4,10,1,28,12,0,
0,0,17,1,0,20,
1,17,0,3,0,71,
2,1,3,0,13,0,
3,0,0,13,0,0,
4,20,71,0,0,0,
0,0,6,20,13,0,
1,6,0,20,16,0,
2,20,20,0,28,0,
3,13,16,28,0,0,
4,0,0,0,0,0,
0,0,20,2,15,3,
1,20,0,2,40,4,
2,2,2,0,4,7,
3,15,40,4,0,5,
4,3,4,7,5,0,
0,0,7,8,1,6,
1,7,0,3,9,8,
2,8,3,0,4,24,
3,1,9,4,0,6,
4,6,8,24,6,0,
0,0,4,1,41,5,
1,4,0,13,3,28,
2,1,13,0,3,22,
3,41,3,3,0,4,
4,5,28,22,4,0,
0,0,1,2,11,0,
1,1,0,36,1,16,
2,2,36,0,5,17,
3,11,1,5,0,2,
4,0,16,17,2,0,
0,0,1,66,12,0,
1,1,0,1,1,12,
2,66,1,0,2,1,
3,12,1,2,0,0,
4,0,12,1,0,0,
0,0,1,7,6,5,
1,1,0,4,3,13,
2,7,4,0,7,12,
3,6,3,7,0,16,
4,5,13,12,16,0,
0,0,76,0,39,6,
1,76,0,3,46,8,
2,0,3,0,3,50,
3,39,46,3,0,7,
4,6,8,50,7,0,
0,0,10,10,28,12,
1,10,0,13,16,17,
2,10,13,0,15,14,
3,28,16,15,0,19,
4,12,17,14,19,0,
0,0,14,0,31,0,
1,14,0,0,17,2,
2,0,0,0,0,14,
3,31,17,0,0,1,
4,0,2,14,1,0,
0,0,25,29,5,10,
1,25,0,18,0,7,
2,29,18,0,7,23,
3,5,0,7,0,2,
4,10,7,23,2,0,
0,0,0,1,0,3,
1,0,0,17,14,7,
2,1,17,0,9,4,
3,0,14,9,0,12,
4,3,7,4,12,0,
0,0,14,6,9,16,
1,14,0,11,3,20,
2,6,11,0,3,3,
3,9,3,3,0,6,
4,16,20,3,6,0,
0,0,0,1,0,18,
1,0,0,5,22,2,
2,1,5,0,13,2,
3,0,22,13,0,2,
4,18,2,2,2,0,
0,0,11,22,19,9,
1,11,0,6,20,17,
2,22,6,0,15,2,
3,19,20,15,0,27,
4,9,17,2,27,0,
0,0,7,9,4,29,
1,7,0,10,13,7,
2,9,10,0,21,13,
3,4,13,21,0,12,
4,29,7,13,12,0,
0,0,17,7,0,4,
1,17,0,17,3,14,
2,7,17,0,0,4,
3,0,3,0,0,0,
4,4,14,4,0,0,
0,0,1,0,5,16,
1,1,0,7,6,2,
2,0,7,0,12,9,
3,5,6,12,0,6,
4,16,2,9,6,0,
0,0,4,2,4,11,
1,4,0,29,19,6,
2,2,29,0,14,3,
3,4,19,14,0,4,
4,11,6,3,4,0,
0,0,7,1,0,8,
1,7,0,0,0,7,
2,1,0,0,8,2,
3,0,0,8,0,0,
4,8,7,2,0,0,
0,0,3,0,0,0,
1,3,0,1,8,3,
2,0,1,0,4,27,
3,0,8,4,0,7,
4,0,3,27,7,0,
0,0,1,66,5,2,
1,1,0,0,7,24,
2,66,0,0,10,2,
3,5,7,10,0,6,
4,2,24,2,6,0,
0,0,8,1,15,12,
1,8,0,3,12,8,
2,1,3,0,1,1,
3,15,12,1,0,10,
4,12,8,1,10,0,
0,0,11,15,8,4,
1,11,0,10,10,34,
2,15,10,0,11,3,
3,8,10,11,0,4,
4,4,34,3,4,0,
0,0,12,10,1,0,
1,12,0,27,0,0,
2,10,27,0,0,1,
3,1,0,0,0,21,
4,0,0,1,21,0,
0,0,17,16,5,0,
1,17,0,7,0,6,
2,16,7,0,12,19,
3,5,0,12,0,15,
4,0,6,19,15,0,
0,0,3,2,5,13,
1,3,0,6,11,4,
2,2,6,0,3,0,
3,5,11,3,0,6,
4,13,4,0,6,0,
0,0,4,5,1,6,
1,4,0,3,22,18,
2,5,3,0,0,0,
3,1,22,0,0,3,
4,6,18,0,3,0,
0,0,9,1,11,20,
