Node/Edge,1000,5330
Step/Entity,1600,30
meet_step
0,0,5,1,0,1,1,0,0,4,4,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,2,0,0,
1,5,0,0,0,6,0,6,2,3,3,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,13,0,0,0,
2,1,0,0,0,48,12,0,0,0,2,12,18,0,30,4,47,2,7,0,0,5,2,20,1,10,3,0,3,8,12,
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,0,2,4,0,0,0,0,
4,1,6,48,0,0,17,0,0,0,2,14,22,0,39,3,53,11,6,1,0,3,0,68,9,13,5,0,6,10,16,
5,1,0,12,0,17,0,0,0,0,1,8,11,0,9,2,8,2,2,0,0,5,0,19,4,10,3,0,5,7,4,
6,0,6,0,0,0,0,0,23,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,
7,0,2,0,0,0,0,23,0,0,0,0,0,12,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,
8,4,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,11,0,3,0,0,4,1,0,0,
9,4,3,2,0,2,1,0,0,16,0,1,1,0,1,0,1,1,0,2,0,3,9,7,0,1,0,1,4,0,6,
10,1,0,12,0,14,8,0,0,0,1,0,9,0,5,16,11,3,11,0,0,19,1,9,4,29,2,0,8,19,21,
11,0,0,18,1,22,11,0,0,0,1,9,0,0,13,4,17,0,1,0,0,3,1,24,1,6,2,0,5,3,15,
12,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,
13,0,0,30,0,39,9,0,0,0,1,5,13,0,0,3,26,12,8,0,0,3,0,28,8,6,4,0,4,5,8,
14,0,0,4,0,3,2,0,0,0,0,16,4,0,3,0,2,2,20,0,0,13,0,2,1,19,2,0,3,3,9,
15,0,0,47,0,53,8,0,0,0,1,11,17,0,26,2,0,6,7,0,0,7,1,32,5,6,5,0,5,6,9,
16,0,0,2,11,11,2,0,0,0,1,3,0,0,12,2,6,0,0,0,0,2,3,8,0,2,23,0,1,0,5,
17,0,0,7,0,6,2,0,0,0,0,11,1,0,8,20,7,0,0,0,0,2,0,5,2,7,0,0,4,7,4,
18,1,33,0,0,1,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,
19,0,0,0,0,0,0,4,3,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,2,0,5,1,3,5,0,0,0,3,19,3,0,3,13,7,2,2,0,0,0,4,3,18,6,2,0,12,32,13,
21,1,1,2,0,0,0,0,0,11,9,1,1,0,0,0,1,3,0,1,0,4,0,1,9,0,0,0,6,2,3,
22,1,0,20,0,68,19,0,0,0,7,9,24,0,28,2,32,8,5,0,0,3,1,0,7,13,4,0,7,7,14,
23,0,0,1,0,9,4,0,0,3,0,4,1,0,8,1,5,0,2,0,0,18,9,7,0,8,1,0,10,11,7,
24,0,0,10,2,13,10,0,0,0,1,29,6,0,6,19,6,2,7,0,0,6,0,13,8,0,4,0,8,7,18,
25,0,0,3,4,5,3,0,0,0,0,2,2,0,4,2,5,23,0,0,0,2,0,4,1,4,0,0,0,2,6,
26,0,13,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,
27,2,0,3,0,6,5,0,0,1,4,8,5,0,4,3,5,1,4,0,0,12,6,7,10,8,0,0,0,30,12,
28,0,0,8,0,10,7,0,0,0,0,19,3,0,5,3,6,0,7,0,0,32,2,7,11,7,2,0,30,0,12,
29,0,0,12,0,16,4,0,0,0,6,21,15,0,8,9,9,5,4,0,0,13,3,14,7,18,6,0,12,12,0,
0,0,0,0,9,0,14,2,0,0,0,0,2,6,9,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,
1,0,0,1,0,10,0,0,0,1,3,28,0,0,0,0,6,0,25,2,5,12,0,12,1,0,1,3,1,10,11,
2,0,1,0,0,13,0,0,14,25,4,6,0,0,0,0,1,0,1,21,15,3,0,1,15,0,14,17,7,1,8,
3,9,0,0,0,0,2,1,0,0,0,1,5,0,2,3,0,4,0,0,0,0,0,2,0,9,0,0,0,0,0,
4,0,10,13,0,0,0,0,18,4,2,10,0,0,0,0,2,0,2,1,1,2,0,0,13,0,23,12,12,0,0,
5,14,0,0,2,0,0,24,0,0,0,0,0,10,14,12,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,
6,2,0,0,1,0,24,0,0,0,0,0,0,19,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,14,0,18,0,0,0,21,1,2,0,0,0,0,2,0,1,2,0,0,0,0,34,0,34,78,30,2,0,
8,0,1,25,0,4,0,0,21,0,3,3,0,0,0,0,2,0,4,8,11,4,0,2,15,0,16,29,8,7,9,
9,0,3,4,0,2,0,0,1,3,0,5,3,0,0,0,2,1,9,7,6,9,3,4,0,1,0,2,2,16,18,
10,0,28,6,1,10,0,0,2,3,5,0,1,0,0,0,6,0,39,1,1,11,2,9,3,0,0,4,2,2,4,
11,2,0,0,5,0,0,0,0,0,3,1,0,0,0,1,0,10,0,0,0,0,0,0,0,31,0,0,1,0,3,
12,6,0,0,0,0,10,19,0,0,0,0,0,0,20,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,9,0,0,2,0,14,17,0,0,0,0,0,20,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
14,3,0,0,3,0,12,40,0,0,0,0,1,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,0,6,1,0,2,0,0,2,2,2,6,0,0,0,0,0,1,10,2,2,9,0,28,1,1,2,1,2,2,1,
16,3,0,0,4,0,1,0,0,0,1,0,10,0,0,0,1,0,0,2,0,0,2,0,0,17,0,0,0,0,0,
17,0,25,1,0,2,0,0,1,4,9,39,0,0,0,0,10,0,0,2,9,9,0,8,0,0,2,2,0,3,7,
