Node/Edge,1000,5344
Step/Entity,1600,10
meet_step
0,0,3,0,2,17,0,0,0,6,0,
1,3,0,0,0,2,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,2,
3,2,0,0,0,17,0,0,8,30,0,
4,17,2,0,17,0,0,0,6,60,0,
5,0,0,0,0,0,0,54,0,0,2,
6,0,0,0,0,0,54,0,0,0,0,
7,0,0,0,8,6,0,0,0,8,0,
8,6,0,0,30,60,0,0,8,0,0,
9,0,0,2,0,0,2,0,0,0,0,
0,0,1,0,1,0,0,5,14,0,0,
1,1,0,5,16,2,10,2,0,0,2,
2,0,5,0,40,5,8,0,0,0,9,
3,1,16,40,0,1,22,5,0,0,2,
4,0,2,5,1,0,5,0,0,2,11,
5,0,10,8,22,5,0,0,0,0,4,
6,5,2,0,5,0,0,0,5,0,0,
7,14,0,0,0,0,0,5,0,0,0,
8,0,0,0,0,2,0,0,0,0,4,
9,0,2,9,2,11,4,0,0,4,0,
0,0,1,7,0,0,1,7,2,0,2,
1,1,0,1,0,5,8,0,0,0,10,
2,7,1,0,0,0,0,5,2,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,5,0,0,0,23,0,0,1,11,
5,1,8,0,0,23,0,0,0,1,16,
6,7,0,5,0,0,0,0,12,0,0,
7,2,0,2,0,0,0,12,0,0,0,
8,0,0,0,0,1,1,0,0,0,0,
9,2,10,0,0,11,16,0,0,0,0,
0,0,0,1,0,2,3,0,0,0,0,
1,0,0,4,7,0,3,0,0,10,6,
2,1,4,0,11,0,13,0,0,4,8,
3,0,7,11,0,0,2,0,0,22,11,
4,2,0,0,0,0,1,1,2,0,0,
5,3,3,13,2,1,0,0,0,4,27,
6,0,0,0,0,1,0,0,19,0,0,
7,0,0,0,0,2,0,19,0,0,0,
8,0,10,4,22,0,4,0,0,0,3,
9,0,6,8,11,0,27,0,0,3,0,
0,0,0,0,1,4,6,0,0,1,0,
1,0,0,9,0,0,0,6,0,0,21,
2,0,9,0,0,0,0,10,0,0,0,
3,1,0,0,0,12,2,0,0,4,0,
4,4,0,0,12,0,41,0,0,1,0,
5,6,0,0,2,41,0,0,0,4,0,
6,0,6,10,0,0,0,0,0,0,26,
7,0,0,0,0,0,0,0,0,0,0,
8,1,0,0,4,1,4,0,0,0,0,
9,0,21,0,0,0,0,26,0,0,0,
0,0,0,0,0,0,4,1,0,0,8,
1,0,0,1,0,5,0,0,14,0,0,
2,0,1,0,0,5,2,0,2,0,0,
3,0,0,0,0,5,0,1,3,11,0,
4,0,5,5,5,0,0,0,8,4,0,
5,4,0,2,0,0,0,46,0,0,1,
6,1,0,0,1,0,46,0,0,1,0,
7,0,14,2,3,8,0,0,0,4,0,
8,0,0,0,11,4,0,1,4,0,0,
9,8,0,0,0,0,1,0,0,0,0,
0,0,7,0,0,4,0,1,20,2,37,
1,7,0,0,0,0,0,4,1,4,14,
2,0,0,0,0,10,9,0,0,0,1,
3,0,0,0,0,0,0,0,0,0,0,
4,4,0,10,0,0,7,0,1,0,4,
5,0,0,9,0,7,0,0,0,0,0,
6,1,4,0,0,0,0,0,2,10,6,
7,20,1,0,0,1,0,2,0,0,14,
