Node/Edge,1000,14761
Step/Entity,1600,5
meet_step
0,0,16,41,5,22,
1,16,0,16,24,25,
2,41,16,0,2,9,
3,5,24,2,0,15,
4,22,25,9,15,0,
0,0,23,14,31,9,
1,23,0,20,15,15,
2,14,20,0,16,6,
3,31,15,16,0,15,
4,9,15,6,15,0,
0,0,0,42,37,60,
1,0,0,1,1,0,
2,42,1,0,28,37,
3,37,1,28,0,45,
4,60,0,37,45,0,
0,0,1,15,13,6,
1,1,0,14,25,24,
2,15,14,0,7,45,
3,13,25,7,0,7,
4,6,24,45,7,0,
0,0,2,3,0,1,
1,2,0,49,49,25,
2,3,49,0,51,29,
3,0,49,51,0,18,
4,1,25,29,18,0,
0,0,12,0,21,22,
1,12,0,0,34,22,
2,0,0,0,4,1,
3,21,34,4,0,23,
4,22,22,1,23,0,
0,0,1,2,36,2,
1,1,0,56,14,28,
2,2,56,0,14,30,
3,36,14,14,0,12,
4,2,28,30,12,0,
0,0,20,15,15,18,
1,20,0,23,46,36,
2,15,23,0,29,17,
3,15,46,29,0,44,
4,18,36,17,44,0,
0,0,26,21,33,1,
1,26,0,17,17,11,
2,21,17,0,24,0,
3,33,17,24,0,1,
4,1,11,0,1,0,
0,0,16,15,15,22,
1,16,0,4,22,0,
2,15,4,0,2,17,
3,15,22,2,0,3,
4,22,0,17,3,0,
0,0,12,24,28,5,
1,12,0,39,1,0,
2,24,39,0,13,3,
3,28,1,13,0,1,
4,5,0,3,1,0,
0,0,1,6,2,3,
1,1,0,23,41,23,
2,6,23,0,32,41,
3,2,41,32,0,43,
4,3,23,41,43,0,
0,0,27,47,24,14,
1,27,0,47,14,29,
2,47,47,0,11,12,
3,24,14,11,0,7,
4,14,29,12,7,0,
0,0,2,4,11,24,
1,2,0,4,0,6,
2,4,4,0,37,6,
3,11,0,37,0,13,
4,24,6,6,13,0,
0,0,40,38,36,14,
1,40,0,45,33,8,
2,38,45,0,28,14,
3,36,33,28,0,9,
4,14,8,14,9,0,
0,0,7,1,0,2,
1,7,0,19,17,3,
2,1,19,0,14,14,
3,0,17,14,0,32,
4,2,3,14,32,0,
0,0,8,5,22,14,
1,8,0,7,12,36,
2,5,7,0,13,3,
3,22,12,13,0,7,
4,14,36,3,7,0,
0,0,27,1,31,1,
1,27,0,0,12,1,
2,1,0,0,0,42,
3,31,12,0,0,0,
4,1,1,42,0,0,
0,0,10,13,4,36,
1,10,0,5,20,21,
2,13,5,0,0,23,
3,4,20,0,0,13,
4,36,21,23,13,0,
0,0,20,9,26,13,
1,20,0,7,27,16,
2,9,7,0,1,2,
3,26,27,1,0,25,
4,13,16,2,25,0,
0,0,9,14,8,5,
1,9,0,8,5,7,
2,14,8,0,29,7,
3,8,5,29,0,6,
4,5,7,7,6,0,
0,0,36,18,26,0,
1,36,0,17,20,0,
2,18,17,0,30,1,
3,26,20,30,0,0,
4,0,0,1,0,0,
0,0,8,7,14,27,
1,8,0,14,13,0,
2,7,14,0,11,5,
3,14,13,11,0,10,
4,27,0,5,10,0,
0,0,43,0,1,56,
1,43,0,10,7,22,
2,0,10,0,59,0,
3,1,7,59,0,1,
4,56,22,0,1,0,
0,0,2,28,39,27,
1,2,0,0,0,0,
2,28,0,0,24,28,
3,39,0,24,0,17,
4,27,0,28,17,0,
0,0,2,3,1,3,
1,2,0,26,28,33,
2,3,26,0,37,23,
3,1,28,37,0,42,
4,3,33,23,42,0,
0,0,15,15,27,7,
1,15,0,24,20,19,
2,15,24,0,33,24,
3,27,20,33,0,29,
4,7,19,24,29,0,
0,0,0,3,0,2,
1,0,0,3,9,6,
2,3,3,0,14,36,
3,0,9,14,0,11,
4,2,6,36,11,0,
0,0,17,8,3,19,
1,17,0,0,0,46,
2,8,0,0,41,1,
3,3,0,41,0,1,
4,19,46,1,1,0,
0,0,31,7,33,8,
1,31,0,33,45,13,
2,7,33,0,14,34,
3,33,45,14,0,8,
4,8,13,34,8,0,
0,0,15,12,2,36,
1,15,0,26,24,7,
2,12,26,0,19,6,
3,2,24,19,0,3,
4,36,7,6,3,0,
0,0,17,23,13,28,
1,17,0,24,15,32,
2,23,24,0,39,33,
3,13,15,39,0,20,
4,28,32,33,20,0,
0,0,17,0,0,4,
1,17,0,1,0,2,
2,0,1,0,39,23,
3,0,0,39,0,26,
4,4,2,23,26,0,
0,0,11,2,3,27,
1,11,0,6,11,25,
2,2,6,0,13,5,
3,3,11,13,0,3,
4,27,25,5,3,0,
0,0,13,46,19,26,
1,13,0,11,24,1,
2,46,11,0,5,35,
3,19,24,5,0,2,
4,26,1,35,2,0,
0,0,37,22,41,10,
1,37,0,29,45,6,
2,22,29,0,21,31,
3,41,45,21,0,10,
4,10,6,31,10,0,
0,0,0,45,1,0,
1,0,0,1,13,55,
2,45,1,0,6,0,
3,1,13,6,0,10,
4,0,55,0,10,0,
0,0,1,20,1,14,
1,1,0,9,10,19,
2,20,9,0,1,19,
3,1,10,1,0,0,
