Node/Edge,1000,9362
Step/Entity,800,5
meet_step
0,0,0,0,5,5,
1,0,0,11,0,0,
2,0,11,0,0,0,
3,5,0,0,0,34,
4,5,0,0,34,0,
0,0,7,6,11,0,
1,7,0,33,16,0,
2,6,33,0,41,0,
3,11,16,41,0,0,
4,0,0,0,0,0,
0,0,0,2,0,2,
1,0,0,2,3,0,
2,2,2,0,8,18,
3,0,3,8,0,1,
4,2,0,18,1,0,
0,0,3,0,0,7,
1,3,0,1,9,4,
2,0,1,0,10,0,
3,0,9,10,0,0,
4,7,4,0,0,0,
0,0,17,1,18,16,
1,17,0,6,9,16,
2,1,6,0,0,4,
3,18,9,0,0,9,
4,16,16,4,9,0,
0,0,10,15,6,0,
1,10,0,5,13,0,
2,15,5,0,18,0,
3,6,13,18,0,0,
4,0,0,0,0,0,
0,0,2,8,0,28,
1,2,0,6,10,1,
2,8,6,0,13,3,
3,0,10,13,0,1,
4,28,1,3,1,0,
0,0,25,0,0,18,
1,25,0,0,0,8,
2,0,0,0,14,1,
3,0,0,14,0,1,
4,18,8,1,1,0,
0,0,0,0,0,0,
1,0,0,23,28,5,
2,0,23,0,22,13,
3,0,28,22,0,10,
4,0,5,13,10,0,
0,0,0,0,0,0,
1,0,0,0,10,23,
2,0,0,0,1,0,
3,0,10,1,0,7,
4,0,23,0,7,0,
0,0,46,0,7,0,
1,46,0,0,13,2,
2,0,0,0,0,2,
3,7,13,0,0,8,
4,0,2,2,8,0,
0,0,5,0,0,0,
1,5,0,0,0,0,
2,0,0,0,24,45,
3,0,0,24,0,18,
4,0,0,45,18,0,
0,0,3,0,3,4,
1,3,0,0,0,0,
2,0,0,0,0,1,
3,3,0,0,0,5,
4,4,0,1,5,0,
0,0,0,1,22,0,
1,0,0,2,0,9,
2,1,2,0,2,1,
3,22,0,2,0,0,
4,0,9,1,0,0,
0,0,3,8,4,0,
1,3,0,16,2,0,
2,8,16,0,2,0,
3,4,2,2,0,0,
4,0,0,0,0,0,
0,0,10,2,14,0,
1,10,0,1,10,0,
2,2,1,0,7,0,
3,14,10,7,0,0,
4,0,0,0,0,0,
0,0,2,0,21,7,
1,2,0,9,1,4,
2,0,9,0,1,19,
3,21,1,1,0,4,
4,7,4,19,4,0,
0,0,2,1,12,1,
1,2,0,19,1,1,
2,1,19,0,0,0,
3,12,1,0,0,0,
4,1,1,0,0,0,
0,0,3,0,5,6,
1,3,0,12,0,2,
2,0,12,0,1,3,
3,5,0,1,0,18,
4,6,2,3,18,0,
0,0,14,0,9,0,
1,14,0,0,13,0,
2,0,0,0,0,4,
3,9,13,0,0,0,
4,0,0,4,0,0,
0,0,4,0,0,15,
1,4,0,4,2,6,
2,0,4,0,5,0,
3,0,2,5,0,0,
4,15,6,0,0,0,
0,0,4,0,4,13,
1,4,0,0,1,1,
2,0,0,0,1,3,
3,4,1,1,0,4,
4,13,1,3,4,0,
0,0,0,1,0,3,
1,0,0,2,2,3,
2,1,2,0,3,1,
3,0,2,3,0,1,
4,3,3,1,1,0,
0,0,22,30,0,14,
1,22,0,4,0,7,
2,30,4,0,0,10,
3,0,0,0,0,13,
4,14,7,10,13,0,
0,0,0,0,0,9,
1,0,0,1,29,0,
2,0,1,0,20,1,
3,0,29,20,0,2,
4,9,0,1,2,0,
0,0,10,9,10,14,
1,10,0,11,4,10,
2,9,11,0,2,3,
3,10,4,2,0,13,
4,14,10,3,13,0,
0,0,31,1,25,0,
1,31,0,2,22,0,
2,1,2,0,0,6,
3,25,22,0,0,1,
4,0,0,6,1,0,
0,0,10,3,20,8,
1,10,0,3,17,5,
2,3,3,0,5,0,
3,20,17,5,0,1,
4,8,5,0,1,0,
0,0,2,0,16,0,
1,2,0,20,0,26,
2,0,20,0,0,17,
3,16,0,0,0,1,
4,0,26,17,1,0,
0,0,5,0,2,2,
1,5,0,2,4,0,
2,0,2,0,0,4,
3,2,4,0,0,0,
4,2,0,4,0,0,
0,0,0,0,12,0,
1,0,0,17,0,15,
2,0,17,0,0,10,
3,12,0,0,0,0,
4,0,15,10,0,0,
0,0,19,21,0,0,
1,19,0,13,0,0,
2,21,13,0,1,0,
3,0,0,1,0,5,
4,0,0,0,5,0,
0,0,0,16,0,0,
1,0,0,0,5,2,
2,16,0,0,0,0,
3,0,5,0,0,1,
4,0,2,0,1,0,
0,0,5,11,9,1,
1,5,0,7,2,8,
2,11,7,0,24,6,
3,9,2,24,0,3,
4,1,8,6,3,0,
0,0,0,3,0,0,
1,0,0,4,7,4,
2,3,4,0,14,2,
3,0,7,14,0,5,
4,0,4,2,5,0,
0,0,0,16,0,2,
1,0,0,0,30,30,
2,16,0,0,0,1,
3,0,30,0,0,19,
4,2,30,1,19,0,
0,0,2,9,0,0,
1,2,0,19,7,10,
2,9,19,0,2,9,
3,0,7,2,0,3,
4,0,10,9,3,0,
0,0,26,1,14,2,
1,26,0,3,16,3,
2,1,3,0,2,0,
3,14,16,2,0,3,
4,2,3,0,3,0,
0,0,27,10,18,20,
1,27,0,6,26,29,
2,10,6,0,4,5,
3,18,26,4,0,22,
4,20,29,5,22,0,
0,0,0,0,1,0,
1,0,0,9,2,10,
2,0,9,0,1,10,
3,1,2,1,0,0,
