Node/Edge,1000,14471
Step/Entity,800,10
meet_step
0,0,1,8,8,12,4,12,8,19,13,
1,1,0,3,1,1,0,0,23,0,3,
2,8,3,0,7,2,4,15,8,20,1,
3,8,1,7,0,6,6,1,1,6,12,
4,12,1,2,6,0,9,1,1,5,12,
5,4,0,4,6,9,0,1,2,4,6,
6,12,0,15,1,1,1,0,8,15,4,
7,8,23,8,1,1,2,8,0,10,2,
8,19,0,20,6,5,4,15,10,0,11,
9,13,3,1,12,12,6,4,2,11,0,
0,0,0,0,0,0,7,8,0,5,0,
1,0,0,1,37,29,0,2,6,1,33,
2,0,1,0,2,4,33,4,19,3,0,
3,0,37,2,0,35,3,4,2,4,30,
4,0,29,4,35,0,0,2,0,1,34,
5,7,0,33,3,0,0,6,30,8,1,
6,8,2,4,4,2,6,0,11,2,6,
7,0,6,19,2,0,30,11,0,8,3,
8,5,1,3,4,1,8,2,8,0,5,
9,0,33,0,30,34,1,6,3,5,0,
0,0,16,8,0,9,0,17,10,0,1,
1,16,0,1,0,9,0,8,11,0,0,
2,8,1,0,4,4,4,1,4,1,7,
3,0,0,4,0,0,38,1,1,40,8,
4,9,9,4,0,0,1,4,14,0,1,
5,0,0,4,38,1,0,0,0,30,22,
6,17,8,1,1,4,0,0,3,0,0,
7,10,11,4,1,14,0,3,0,0,2,
8,0,0,1,40,0,30,0,0,0,6,
9,1,0,7,8,1,22,0,2,6,0,
0,0,0,0,2,2,9,24,15,0,5,
1,0,0,12,4,11,7,0,1,18,3,
2,0,12,0,1,6,4,0,0,6,2,
3,2,4,1,0,3,20,3,7,19,15,
4,2,11,6,3,0,2,0,3,8,2,
5,9,7,4,20,2,0,6,15,17,11,
6,24,0,0,3,0,6,0,20,3,14,
7,15,1,0,7,3,15,20,0,14,21,
8,0,18,6,19,8,17,3,14,0,13,
9,5,3,2,15,2,11,14,21,13,0,
0,0,1,5,10,0,4,28,0,0,15,
1,1,0,5,2,7,4,1,10,10,5,
2,5,5,0,0,8,2,18,3,5,6,
3,10,2,0,0,0,7,9,1,1,5,
4,0,7,8,0,0,0,0,22,15,4,
5,4,4,2,7,0,0,6,0,0,5,
6,28,1,18,9,0,6,0,0,0,16,
7,0,10,3,1,22,0,0,0,27,0,
8,0,10,5,1,15,0,0,27,0,3,
9,15,5,6,5,4,5,16,0,3,0,
0,0,0,0,1,4,0,8,7,13,21,
1,0,0,42,1,12,28,5,3,1,2,
2,0,42,0,1,16,20,13,1,0,2,
3,1,1,1,0,3,5,8,21,6,6,
4,4,12,16,3,0,12,15,5,1,8,
5,0,28,20,5,12,0,14,1,0,3,
6,8,5,13,8,15,14,0,3,9,6,
7,7,3,1,21,5,1,3,0,7,6,
8,13,1,0,6,1,0,9,7,0,5,
9,21,2,2,6,8,3,6,6,5,0,
0,0,3,12,6,7,14,7,10,19,0,
1,3,0,5,2,3,4,6,7,2,0,
2,12,5,0,4,12,12,2,13,6,1,
3,6,2,4,0,4,10,13,8,6,1,
