Node/Edge,1000,7094
Step/Entity,1600,10
meet_step
0,0,0,69,29,34,0,53,51,15,0,
1,0,0,0,1,0,24,0,0,0,9,
2,69,0,0,19,28,0,49,48,17,4,
3,29,1,19,0,19,1,22,27,7,0,
4,34,0,28,19,0,0,31,32,15,0,
5,0,24,0,1,0,0,0,0,0,13,
6,53,0,49,22,31,0,0,40,15,2,
7,51,0,48,27,32,0,40,0,16,1,
8,15,0,17,7,15,0,15,16,0,0,
9,0,9,4,0,0,13,2,1,0,0,
0,0,43,0,49,45,13,23,32,0,0,
1,43,0,0,41,32,10,13,26,0,0,
2,0,0,0,0,0,13,0,0,1,25,
3,49,41,0,0,30,4,13,27,0,0,
4,45,32,0,30,0,16,12,26,0,0,
5,13,10,13,4,16,0,4,5,0,16,
6,23,13,0,13,12,4,0,19,0,0,
7,32,26,0,27,26,5,19,0,0,0,
8,0,0,1,0,0,0,0,0,0,1,
9,0,0,25,0,0,16,0,0,1,0,
0,0,15,25,0,0,30,31,0,0,0,
1,15,0,16,0,0,14,12,0,0,0,
2,25,16,0,0,24,40,59,27,7,13,
3,0,0,0,0,21,0,0,10,4,4,
4,0,0,24,21,0,2,7,46,15,16,
5,30,14,40,0,2,0,38,4,0,9,
6,31,12,59,0,7,38,0,7,5,16,
7,0,0,27,10,46,4,7,0,15,17,
8,0,0,7,4,15,0,5,15,0,4,
9,0,0,13,4,16,9,16,17,4,0,
0,0,2,33,1,0,41,4,0,8,12,
1,2,0,1,25,0,4,0,11,7,6,
2,33,1,0,3,1,27,12,0,0,1,
3,1,25,3,0,0,3,1,29,19,4,
4,0,0,1,0,0,3,11,0,0,1,
5,41,4,27,3,3,0,24,0,3,14,
6,4,0,12,1,11,24,0,0,0,11,
7,0,11,0,29,0,0,0,0,36,13,
8,8,7,0,19,0,3,0,36,0,4,
9,12,6,1,4,1,14,11,13,4,0,
0,0,0,0,0,46,0,0,5,51,5,
1,0,0,9,35,2,11,44,28,0,26,
2,0,9,0,11,0,4,9,7,0,2,
3,0,35,11,0,0,11,30,23,0,18,
4,46,2,0,0,0,0,0,31,62,16,
5,0,11,4,11,0,0,9,5,0,7,
6,0,44,9,30,0,9,0,14,1,20,
7,5,28,7,23,31,5,14,0,38,42,
8,51,0,0,0,62,0,1,38,0,22,
9,5,26,2,18,16,7,20,42,22,0,
0,0,6,3,9,18,15,22,3,8,19,
1,6,0,33,62,2,16,23,13,0,1,
2,3,33,0,25,2,12,7,50,0,0,
3,9,62,25,0,7,22,27,13,0,6,
4,18,2,2,7,0,15,15,6,1,27,
5,15,16,12,22,15,0,25,5,3,10,
6,22,23,7,27,15,25,0,9,3,9,
7,3,13,50,13,6,5,9,0,0,2,
8,8,0,0,0,1,3,3,0,0,1,
9,19,1,0,6,27,10,9,2,1,0,
0,0,0,27,17,15,8,2,7,0,1,
1,0,0,0,3,4,29,8,6,6,32,
2,27,0,0,1,1,2,0,3,0,2,
3,17,3,1,0,19,13,12,24,2,2,
4,15,4,1,19,0,6,6,14,3,5,
5,8,29,2,13,6,0,8,10,7,10,
6,2,8,0,12,6,8,0,36,1,2,
7,7,6,3,24,14,10,36,0,0,6,
8,0,6,0,2,3,7,1,0,0,11,
9,1,32,2,2,5,10,2,6,11,0,
0,0,16,10,16,15,12,21,2,11,18,
1,16,0,2,8,38,12,24,5,9,8,
2,10,2,0,27,1,35,14,0,25,40,
3,16,8,27,0,8,26,19,1,42,3,
4,15,38,1,8,0,8,15,7,3,9,
5,12,12,35,26,8,0,26,0,15,37,
6,21,24,14,19,15,26,0,2,18,26,
7,2,5,0,1,7,0,2,0,1,0,
8,11,9,25,42,3,15,18,1,0,15,
9,18,8,40,3,9,37,26,0,15,0,
0,0,21,0,0,30,23,0,0,3,0,
1,21,0,0,0,28,59,0,1,15,0,
2,0,0,0,36,0,0,38,24,0,17,
3,0,0,36,0,0,0,29,22,0,23,
4,30,28,0,0,0,42,0,0,16,0,
5,23,59,0,0,42,0,0,0,14,0,
6,0,0,38,29,0,0,0,22,0,26,
7,0,1,24,22,0,0,22,0,0,43,
8,3,15,0,0,16,14,0,0,0,0,
9,0,0,17,23,0,0,26,43,0,0,
0,0,1,0,14,0,3,0,0,18,0,
1,1,0,90,9,27,1,53,60,1,49,
2,0,90,0,5,42,1,55,64,0,45,
3,14,9,5,0,9,5,5,6,2,1,
4,0,27,42,9,0,3,30,23,0,21,
5,3,1,1,5,3,0,0,0,15,0,
6,0,53,55,5,30,0,0,41,0,46,
7,0,60,64,6,23,0,41,0,0,31,
8,18,1,0,2,0,15,0,0,0,0,
9,0,49,45,1,21,0,46,31,0,0,
0,0,1,0,6,4,1,10,12,4,0,
1,1,0,0,10,18,26,11,10,36,22,
2,0,0,0,0,0,2,0,0,3,28,
3,6,10,0,0,3,2,4,8,4,0,
4,4,18,0,3,0,14,16,22,25,22,
5,1,26,2,2,14,0,3,9,25,5,
6,10,11,0,4,16,3,0,25,17,6,
7,12,10,0,8,22,9,25,0,27,16,
8,4,36,3,4,25,25,17,27,0,22,
9,0,22,28,0,22,5,6,16,22,0,
0,0,4,8,12,6,8,21,13,13,9,
1,4,0,1,0,55,10,2,15,0,41,
2,8,1,0,33,1,0,7,9,11,0,
3,12,0,33,0,1,1,11,5,24,0,
4,6,55,1,1,0,20,3,37,2,69,
5,8,10,0,1,20,0,3,27,4,20,
6,21,2,7,11,3,3,0,2,13,4,
7,13,15,9,5,37,27,2,0,7,33,
8,13,0,11,24,2,4,13,7,0,0,
9,9,41,0,0,69,20,4,33,0,0,
0,0,34,65,55,30,12,36,23,36,46,
1,34,0,50,46,25,21,38,35,28,34,
2,65,50,0,89,40,5,48,49,70,76,
3,55,46,89,0,28,10,41,49,61,74,
4,30,25,40,28,0,24,43,33,35,31,
5,12,21,5,10,24,0,13,13,5,1,
6,36,38,48,41,43,13,0,55,58,46,
7,23,35,49,49,33,13,55,0,52,38,
8,36,28,70,61,35,5,58,52,0,50,
9,46,34,76,74,31,1,46,38,50,0,
0,0,0,3,1,52,1,40,37,56,25,
1,0,0,15,25,0,30,0,2,0,21,
2,3,15,0,9,5,1,4,6,3,4,
3,1,25,9,0,1,12,1,0,2,12,
4,52,0,5,1,0,15,51,62,62,32,
5,1,30,1,12,15,0,6,7,15,27,
6,40,0,4,1,51,6,0,33,44,16,
7,37,2,6,0,62,7,33,0,45,19,
8,56,0,3,2,62,15,44,45,0,28,
9,25,21,4,12,32,27,16,19,28,0,
0,0,49,0,0,0,2,70,4,0,0,
1,49,0,0,0,0,0,62,1,0,0,
2,0,0,0,2,23,44,0,38,62,28,
3,0,0,2,0,20,4,0,7,4,6,
4,0,0,23,20,0,12,0,10,12,5,
5,2,0,44,4,12,0,0,16,59,39,
6,70,62,0,0,0,0,0,3,0,0,
7,4,1,38,7,10,16,3,0,40,17,
8,0,0,62,4,12,59,0,40,0,22,
9,0,0,28,6,5,39,0,17,22,0,
0,0,2,5,4,4,8,10,17,3,6,
1,2,0,7,6,10,5,0,20,7,14,
2,5,7,0,23,3,6,0,2,12,10,
3,4,6,23,0,3,5,0,2,8,7,
4,4,10,3,3,0,5,7,22,6,12,
5,8,5,6,5,5,0,0,9,17,27,
6,10,0,0,0,7,0,0,2,0,1,
7,17,20,2,2,22,9,2,0,6,10,
8,3,7,12,8,6,17,0,6,0,17,
9,6,14,10,7,12,27,1,10,17,0,
0,0,2,20,21,0,2,21,1,27,11,
1,2,0,3,3,10,32,3,31,3,3,
2,20,3,0,13,1,2,9,2,13,33,
3,21,3,13,0,4,0,7,6,16,7,
4,0,10,1,4,0,13,5,10,0,0,
5,2,32,2,0,13,0,0,15,1,0,
6,21,3,9,7,5,0,0,7,15,7,
7,1,31,2,6,10,15,7,0,5,0,
8,27,3,13,16,0,1,15,5,0,15,
9,11,3,33,7,0,0,7,0,15,0,
0,0,38,6,2,5,0,0,1,10,32,
1,38,0,1,0,1,0,0,1,0,44,
2,6,1,0,3,0,10,3,0,11,0,
3,2,0,3,0,4,12,12,0,1,0,
4,5,1,0,4,0,0,0,87,3,1,
5,0,0,10,12,0,0,15,0,3,0,
6,0,0,3,12,0,15,0,0,1,0,
7,1,1,0,0,87,0,0,0,0,2,
8,10,0,11,1,3,3,1,0,0,0,
9,32,44,0,0,1,0,0,2,0,0,
0,0,10,18,16,23,0,3,0,14,18,
1,10,0,10,12,7,0,2,1,20,11,
2,18,10,0,18,12,0,1,0,5,1,
3,16,12,18,0,18,0,1,2,16,14,
4,23,7,12,18,0,6,6,3,10,18,
5,0,0,0,0,6,0,14,19,5,0,
6,3,2,1,1,6,14,0,33,1,3,
7,0,1,0,2,3,19,33,0,0,1,
8,14,20,5,16,10,5,1,0,0,13,
9,18,11,1,14,18,0,3,1,13,0,
0,0,0,3,33,1,3,4,2,1,1,
1,0,0,0,0,1,0,1,0,1,2,
2,3,0,0,1,29,0,23,0,9,18,
3,33,0,1,0,0,8,0,1,0,0,
4,1,1,29,0,0,0,24,0,10,141,
5,3,0,0,8,0,0,0,53,0,0,
6,4,1,23,0,24,0,0,0,17,33,
7,2,0,0,1,0,53,0,0,0,0,
8,1,1,9,0,10,0,17,0,0,8,
9,1,2,18,0,141,0,33,0,8,0,
0,0,3,7,0,22,11,19,1,0,13,
1,3,0,9,0,5,12,14,2,0,3,
2,7,9,0,2,4,5,30,3,3,13,
3,0,0,2,0,0,1,0,14,10,0,
4,22,5,4,0,0,3,15,0,0,10,
5,11,12,5,1,3,0,32,0,0,13,
6,19,14,30,0,15,32,0,2,0,30,
7,1,2,3,14,0,0,2,0,5,10,
8,0,0,3,10,0,0,0,5,0,0,
9,13,3,13,0,10,13,30,10,0,0,
0,0,16,2,0,4,0,0,0,15,0,
1,16,0,5,0,0,2,14,0,16,2,
2,2,5,0,0,0,5,11,2,5,14,
3,0,0,0,0,0,20,0,49,0,12,
4,4,0,0,0,0,0,0,0,6,0,
5,0,2,5,20,0,0,14,39,2,27,
6,0,14,11,0,0,14,0,2,9,7,
7,0,0,2,49,0,39,2,0,1,21,
8,15,16,5,0,6,2,9,1,0,1,
9,0,2,14,12,0,27,7,21,1,0,
0,0,3,0,0,0,0,0,0,0,0,
1,3,0,0,0,0,0,0,0,0,0,
2,0,0,0,18,23,13,27,57,28,14,
3,0,0,18,0,25,25,1,8,17,4,
4,0,0,23,25,0,33,7,16,33,1,
5,0,0,13,25,33,0,5,20,9,5,
6,0,0,27,1,7,5,0,26,27,8,
7,0,0,57,8,16,20,26,0,32,5,
8,0,0,28,17,33,9,27,32,0,6,
9,0,0,14,4,1,5,8,5,6,0,
0,0,3,8,0,3,3,4,9,8,5,
1,3,0,51,11,20,12,39,25,47,9,
2,8,51,0,9,39,11,60,28,43,20,
3,0,11,9,0,19,61,21,8,16,2,
4,3,20,39,19,0,22,29,31,31,12,
5,3,12,11,61,22,0,8,2,18,0,
6,4,39,60,21,29,8,0,41,41,22,
7,9,25,28,8,31,2,41,0,24,18,
8,8,47,43,16,31,18,41,24,0,6,
9,5,9,20,2,12,0,22,18,6,0,
0,0,9,0,13,19,0,46,33,38,0,
1,9,0,3,33,17,0,23,31,43,0,
2,0,3,0,0,0,1,0,0,0,1,
3,13,33,0,0,16,0,32,41,50,0,
4,19,17,0,16,0,0,32,20,31,0,
5,0,0,1,0,0,0,0,0,0,67,
6,46,23,0,32,32,0,0,66,88,0,
7,33,31,0,41,20,0,66,0,79,0,
8,38,43,0,50,31,0,88,79,0,0,
9,0,0,1,0,0,67,0,0,0,0,
0,0,7,0,1,10,0,0,16,0,12,
1,7,0,3,8,9,2,0,17,1,10,
2,0,3,0,52,3,57,30,1,48,21,
3,1,8,52,0,3,28,27,0,24,24,
4,10,9,3,3,0,6,4,9,3,4,
5,0,2,57,28,6,0,42,0,25,16,
6,0,0,30,27,4,42,0,3,34,24,
7,16,17,1,0,9,0,3,0,0,7,
8,0,1,48,24,3,25,34,0,0,28,
9,12,10,21,24,4,16,24,7,28,0,
0,0,4,1,50,0,1,60,1,0,54,
1,4,0,67,0,19,3,16,37,3,0,
2,1,67,0,2,1,13,0,2,0,1,
3,50,0,2,0,0,1,55,1,0,64,
4,0,19,1,0,0,17,6,37,26,0,
5,1,3,13,1,17,0,0,26,13,2,
6,60,16,0,55,6,0,0,9,0,59,
7,1,37,2,1,37,26,9,0,24,1,
8,0,3,0,0,26,13,0,24,0,0,
9,54,0,1,64,0,2,59,1,0,0,
0,0,12,0,0,3,0,2,19,2,0,
1,12,0,4,0,7,0,6,13,5,5,
2,0,4,0,1,7,19,26,5,22,36,
3,0,0,1,0,1,1,6,4,6,1,
4,3,7,7,1,0,1,13,5,11,20,
5,0,0,19,1,1,0,8,2,4,12,
6,2,6,26,6,13,8,0,1,24,50,
7,19,13,5,4,5,2,1,0,0,3,
8,2,5,22,6,11,4,24,0,0,23,
