Node/Edge,1000,9229
Step/Entity,1600,10
meet_step
0,0,1,0,0,2,7,0,3,2,5,
1,1,0,1,3,11,30,0,15,1,3,
2,0,1,0,3,3,3,38,0,19,11,
3,0,3,3,0,23,17,7,0,12,21,
4,2,11,3,23,0,56,3,0,15,41,
5,7,30,3,17,56,0,5,0,3,35,
6,0,0,38,7,3,5,0,0,31,29,
7,3,15,0,0,0,0,0,0,0,0,
8,2,1,19,12,15,3,31,0,0,25,
9,5,3,11,21,41,35,29,0,25,0,
0,0,40,36,9,15,0,11,10,0,6,
1,40,0,41,21,0,0,0,13,0,1,
2,36,41,0,28,2,0,0,22,0,1,
3,9,21,28,0,5,18,5,32,0,3,
4,15,0,2,5,0,3,10,8,0,13,
5,0,0,0,18,3,0,9,5,15,16,
6,11,0,0,5,10,9,0,1,3,41,
7,10,13,22,32,8,5,1,0,0,10,
8,0,0,0,0,0,15,3,0,0,2,
9,6,1,1,3,13,16,41,10,2,0,
0,0,5,35,17,1,0,9,2,31,4,
1,5,0,0,0,23,16,29,17,1,22,
2,35,0,0,29,0,0,0,0,20,0,
3,17,0,29,0,0,0,0,0,14,0,
4,1,23,0,0,0,18,20,20,0,9,
5,0,16,0,0,18,0,7,8,0,9,
6,9,29,0,0,20,7,0,10,3,27,
7,2,17,0,0,20,8,10,0,2,7,
8,31,1,20,14,0,0,3,2,0,5,
9,4,22,0,0,9,9,27,7,5,0,
0,0,60,0,63,63,9,1,0,0,0,
1,60,0,0,34,43,10,0,0,0,0,
2,0,0,0,0,0,1,29,20,13,20,
3,63,34,0,0,39,8,0,0,0,0,
4,63,43,0,39,0,1,0,0,0,0,
5,9,10,1,8,1,0,3,3,0,0,
6,1,0,29,0,0,3,0,26,9,20,
7,0,0,20,0,0,3,26,0,5,22,
8,0,0,13,0,0,0,9,5,0,20,
9,0,0,20,0,0,0,20,22,20,0,
0,0,19,1,28,22,4,7,10,3,3,
1,19,0,3,18,11,8,9,9,6,5,
2,1,3,0,18,0,18,21,15,42,0,
3,28,18,18,0,1,12,14,38,16,1,
4,22,11,0,1,0,0,5,1,3,8,
5,4,8,18,12,0,0,13,25,15,2,
6,7,9,21,14,5,13,0,6,29,4,
7,10,9,15,38,1,25,6,0,26,2,
8,3,6,42,16,3,15,29,26,0,0,
9,3,5,0,1,8,2,4,2,0,0,
0,0,2,26,0,39,25,12,1,0,46,
1,2,0,9,14,3,17,3,36,0,0,
2,26,9,0,15,4,7,8,20,2,5,
3,0,14,15,0,0,2,2,33,1,0,
4,39,3,4,0,0,48,28,2,0,55,
5,25,17,7,2,48,0,10,9,0,33,
6,12,3,8,2,28,10,0,6,0,48,
7,1,36,20,33,2,9,6,0,0,1,
8,0,0,2,1,0,0,0,0,0,0,
9,46,0,5,0,55,33,48,1,0,0,
0,0,29,11,27,0,1,37,16,31,0,
1,29,0,6,1,0,4,9,28,8,3,
2,11,6,0,47,0,14,59,4,20,0,
3,27,1,47,0,0,0,66,20,46,0,
4,0,0,0,0,0,6,0,1,2,36,
5,1,4,14,0,6,0,0,11,1,19,
6,37,9,59,66,0,0,0,20,59,0,
7,16,28,4,20,1,11,20,0,19,4,
8,31,8,20,46,2,1,59,19,0,0,
9,0,3,0,0,36,19,0,4,0,0,
0,0,39,31,29,34,2,34,3,8,29,
1,39,0,33,25,28,1,22,1,3,30,
2,31,33,0,29,37,2,23,1,14,26,
3,29,25,29,0,37,6,37,7,7,21,
4,34,28,37,37,0,6,33,5,6,35,
5,2,1,2,6,6,0,4,16,10,14,
6,34,22,23,37,33,4,0,5,10,27,
7,3,1,1,7,5,16,5,0,12,5,
8,8,3,14,7,6,10,10,12,0,17,
9,29,30,26,21,35,14,27,5,17,0,
0,0,34,32,5,5,33,37,3,5,14,
1,34,0,65,1,5,45,81,4,5,56,
2,32,65,0,0,7,43,71,4,13,42,
