Node/Edge,1000,5346
Step/Entity,1600,20
meet_step
0,0,10,0,19,5,9,1,13,8,17,16,1,15,8,0,5,15,8,2,0,
1,10,0,0,1,7,0,7,26,0,0,13,0,26,0,6,18,3,9,13,0,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,19,1,0,0,1,1,1,1,2,3,1,0,2,1,0,1,51,2,0,0,
4,5,7,0,1,0,1,30,24,0,0,23,0,10,0,11,12,2,32,11,0,
5,9,0,0,1,1,0,0,0,12,23,0,45,0,35,0,0,2,1,0,0,
6,1,7,0,1,30,0,0,3,0,0,16,0,3,0,62,6,1,14,10,0,
7,13,26,0,1,24,0,3,0,0,0,25,0,27,0,2,22,5,21,15,0,
8,8,0,0,2,0,12,0,0,0,42,0,17,0,8,0,0,1,0,0,24,
9,17,0,0,3,0,23,0,0,42,0,0,26,0,36,0,0,2,0,0,3,
10,16,13,0,1,23,0,16,25,0,0,0,0,14,0,9,15,0,46,22,0,
11,1,0,0,0,0,45,0,0,17,26,0,0,0,29,0,0,3,0,0,19,
12,15,26,0,2,10,0,3,27,0,0,14,0,0,0,1,38,1,24,10,0,
13,8,0,0,1,0,35,0,0,8,36,0,29,0,0,0,0,3,0,0,2,
14,0,6,0,0,11,0,62,2,0,0,9,0,1,0,0,0,0,8,18,0,
15,5,18,0,1,12,0,6,22,0,0,15,0,38,0,0,0,6,15,11,0,
16,15,3,0,51,2,2,1,5,1,2,0,3,1,3,0,6,0,2,1,0,
17,8,9,0,2,32,1,14,21,0,0,46,0,24,0,8,15,2,0,23,0,
18,2,13,0,0,11,0,10,15,0,0,22,0,10,0,18,11,1,23,0,0,
19,0,0,0,0,0,0,0,0,24,3,0,19,0,2,0,0,0,0,0,0,
0,0,44,38,22,54,38,34,8,47,0,18,32,39,21,8,6,26,24,48,41,
1,44,0,33,17,63,51,44,5,55,0,35,36,35,46,11,5,53,33,81,49,
2,38,33,0,15,53,24,25,9,29,0,61,29,32,25,8,4,24,37,38,39,
3,22,17,15,0,23,26,9,19,18,0,14,15,17,26,5,11,15,14,26,20,
4,54,63,53,23,0,34,44,12,37,0,57,45,51,42,9,7,41,53,73,42,
5,38,51,24,26,34,0,27,8,30,0,24,39,24,35,9,4,38,29,46,30,
6,34,44,25,9,44,27,0,12,36,0,29,16,37,18,9,1,15,30,42,33,
7,8,5,9,19,12,8,12,0,7,0,2,5,11,11,1,5,4,5,13,8,
8,47,55,29,18,37,30,36,7,0,0,22,24,29,38,16,3,35,29,40,38,
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,
10,18,35,61,14,57,24,29,2,22,1,0,34,39,22,12,6,23,48,45,50,
11,32,36,29,15,45,39,16,5,24,0,34,0,32,32,13,6,32,29,40,23,
12,39,35,32,17,51,24,37,11,29,0,39,32,0,19,5,2,24,37,40,35,
13,21,46,25,26,42,35,18,11,38,0,22,32,19,0,7,5,34,19,43,44,
14,8,11,8,5,9,9,9,1,16,2,12,13,5,7,0,1,7,7,16,7,
15,6,5,4,11,7,4,1,5,3,0,6,6,2,5,1,0,8,4,4,6,
16,26,53,24,15,41,38,15,4,35,0,23,32,24,34,7,8,0,23,36,25,
17,24,33,37,14,53,29,30,5,29,0,48,29,37,19,7,4,23,0,37,33,
18,48,81,38,26,73,46,42,13,40,0,45,40,40,43,16,4,36,37,0,62,
19,41,49,39,20,42,30,33,8,38,0,50,23,35,44,7,6,25,33,62,0,
0,0,6,0,6,1,0,0,3,0,0,1,0,0,0,0,0,0,62,1,0,
1,6,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,5,1,0,
2,0,0,0,0,0,33,4,0,20,4,0,17,9,0,31,16,2,0,0,8,
3,6,1,0,0,22,3,5,10,2,2,46,0,1,0,0,0,3,26,59,4,
4,1,0,0,22,0,1,2,5,0,4,8,0,0,0,0,0,3,6,51,0,
5,0,0,33,3,1,0,32,0,49,14,7,32,12,1,41,15,5,1,0,37,
6,0,0,4,5,2,32,0,11,13,43,3,1,2,0,9,0,16,1,0,53,
7,3,5,0,10,5,0,11,0,1,8,16,1,0,0,3,1,13,18,17,4,
8,0,0,20,2,0,49,13,1,0,14,0,25,10,1,20,10,7,2,1,6,
9,0,0,4,2,4,14,43,8,14,0,10,1,9,0,3,0,43,1,2,47,
10,1,1,0,46,8,7,3,16,0,10,0,0,0,0,1,1,10,14,31,15,
